City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,64.33,90,84,7.36,broken clouds
1,Husavik,IS,66.0449,-17.3389,46.09,90,100,4.21,overcast clouds
2,Cherskiy,RU,68.75,161.3,41.81,67,100,14.29,overcast clouds
3,Camacha,PT,33.0833,-16.3333,63.82,77,40,16.11,scattered clouds
4,Mitu,CO,1.1983,-70.1733,72.81,97,99,0.67,overcast clouds
5,Busselton,AU,-33.65,115.3333,57.83,68,100,6.76,overcast clouds
6,Longyearbyen,SJ,78.2186,15.6401,40.84,81,20,10.36,few clouds
7,Montepuez,MZ,-13.1256,38.9997,59.63,89,0,8.25,clear sky
8,Castro,BR,-24.7911,-50.0119,57.29,98,100,1.21,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,50.49,90,100,6.58,overcast clouds
10,Tiksi,RU,71.6872,128.8694,35.53,90,100,4.56,overcast clouds
11,Chabahar,IR,25.2919,60.643,83.12,83,0,6.96,clear sky
12,Hobart,AU,-42.8794,147.3294,48.06,82,75,4.61,broken clouds
13,Cape Town,ZA,-33.9258,18.4232,60.39,77,0,2.3,clear sky
14,Faanui,PF,-16.4833,-151.75,79.11,77,100,10.54,light rain
15,Saint George,US,37.1041,-113.5841,93.79,5,0,13.8,clear sky
16,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,17,6.78,few clouds
17,Talnakh,RU,69.4865,88.3972,36.21,77,13,3.91,few clouds
18,Thompson,CA,55.7435,-97.8558,39.36,93,100,11.5,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,46.8,73,0,5.91,clear sky
20,Imbituba,BR,-28.24,-48.6703,55.85,95,100,8.99,overcast clouds
21,Nanortalik,GL,60.1432,-45.2371,40.3,77,58,1.25,broken clouds
22,Evensk,RU,61.95,159.2333,53.2,57,79,5.14,broken clouds
23,Sioux Lookout,CA,50.1001,-91.917,42.87,87,75,6.91,broken clouds
24,Dikson,RU,73.5069,80.5464,28.26,83,99,27.78,overcast clouds
25,Tuy Hoa,VN,13.0833,109.3,84.16,67,100,9.91,overcast clouds
26,Hasaki,JP,35.7333,140.8333,77.29,73,99,13.29,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,12.66,scattered clouds
28,Vao,NC,-22.6667,167.4833,72.07,61,87,9.64,overcast clouds
29,Vila Velha,BR,-20.3297,-40.2925,75.15,91,0,4.61,clear sky
30,Taungdwingyi,MM,20.0167,95.55,80.71,78,100,12.26,overcast clouds
31,East London,ZA,-33.0153,27.9116,55.94,62,7,6.87,clear sky
32,Margate,GB,51.3813,1.3862,55.69,80,9,3.0,clear sky
33,Atuona,PF,-9.8,-139.0333,78.66,69,0,17.25,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,33.96,90,29,4.56,scattered clouds
35,Olafsvik,IS,64.8945,-23.7142,46.8,84,100,12.86,overcast clouds
36,Key West,US,24.5557,-81.7826,82.4,80,100,18.41,overcast clouds
37,Albany,US,42.6001,-73.9662,70.45,74,100,3.06,overcast clouds
38,Katsuura,JP,35.1333,140.3,73.44,74,100,15.95,overcast clouds
39,Zonguldak,TR,41.25,31.8333,55.33,96,95,3.09,light rain
40,Kavaratti,IN,10.5669,72.642,83.34,76,100,15.46,light rain
41,Rikitea,PF,-23.1203,-134.9692,77.32,77,95,13.22,overcast clouds
42,Mahebourg,MU,-20.4081,57.7,73.69,68,40,10.36,scattered clouds
43,Tuatapere,NZ,-46.1333,167.6833,47.66,86,100,8.99,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,63.12,34,20,13.8,few clouds
45,Naze,JP,28.3667,129.4833,74.32,91,98,11.81,overcast clouds
46,Pisco,PE,-13.7,-76.2167,63.01,88,75,4.61,mist
47,Ushuaia,AR,-54.8,-68.3,33.46,64,0,4.61,clear sky
48,Sistranda,NO,63.7256,8.834,51.76,93,31,9.89,scattered clouds
49,Bluff,NZ,-46.6,168.3333,50.81,75,100,15.32,overcast clouds
50,Xuddur,SO,4.1213,43.8894,69.33,85,98,15.9,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,66.7,82,33,9.13,scattered clouds
52,Avarua,CK,-21.2078,-159.775,78.85,61,40,19.57,scattered clouds
53,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,51,75,6.71,broken clouds
54,Sitka,US,57.0531,-135.33,55.29,82,75,6.91,broken clouds
55,Berdigestyakh,RU,62.0989,126.6992,67.17,46,13,8.25,few clouds
56,Manzhouli,CN,49.6,117.4333,57.52,58,100,16.98,heavy intensity rain
57,Rantauprapat,ID,2.1,99.8333,78.04,81,96,1.25,overcast clouds
58,Guerrero Negro,MX,27.9769,-114.0611,66.16,70,0,17.63,clear sky
59,Hilo,US,19.7297,-155.09,87.28,85,100,13.8,moderate rain
60,Cidreira,BR,-30.1811,-50.2056,53.02,75,51,8.97,broken clouds
61,Dombarovskiy,RU,50.7587,59.5386,58.41,75,65,8.05,broken clouds
62,Macusani,PE,-14.0833,-70.4333,36.32,84,85,4.27,overcast clouds
63,Magole,TZ,-6.3667,37.3667,62.51,82,33,2.98,scattered clouds
64,Borba,BR,-4.3878,-59.5939,74.01,98,99,1.57,moderate rain
65,Surt,LY,31.2089,16.5887,71.74,81,0,7.25,clear sky
66,Pechora,RU,65.1472,57.2244,37.74,45,2,12.39,clear sky
67,Ucluelet,CA,48.9329,-125.5528,59.09,90,100,3.58,overcast clouds
68,Dongsheng,CN,39.8161,109.9776,75.29,27,100,13.24,overcast clouds
69,Te Anau,NZ,-45.4167,167.7167,45.54,83,82,1.32,broken clouds
70,Nampula,MZ,-15.1165,39.2666,62.55,88,20,10.36,few clouds
71,Chokurdakh,RU,70.6333,147.9167,43.63,53,49,8.01,scattered clouds
72,Saint-Pierre,RE,-21.3393,55.4781,69.48,60,75,4.61,broken clouds
73,Nichinan,JP,31.6,131.3667,74.88,67,100,3.15,overcast clouds
74,Dunkirk,FR,51.05,2.3667,56.08,85,8,9.91,clear sky
75,Barrow,US,71.2906,-156.7887,26.62,86,100,6.91,overcast clouds
76,Port Lincoln,AU,-34.7333,135.8667,59.27,75,52,17.81,light rain
77,Victoria,HK,22.2855,114.1577,85.32,85,100,8.01,overcast clouds
78,Kapaa,US,22.0752,-159.319,82.38,73,0,10.36,clear sky
79,Bengkulu,ID,-3.8004,102.2655,76.93,83,99,3.04,overcast clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,41.95,80,0,3.44,clear sky
81,Aizpute,LV,56.7167,21.6,51.03,93,96,10.94,overcast clouds
82,Tessalit,ML,20.1986,1.0114,93.4,16,79,13.89,broken clouds
83,Madimba,TZ,-10.4,40.3333,70.27,69,36,12.75,scattered clouds
84,Acapulco,MX,16.8634,-99.8901,84.02,70,75,6.91,broken clouds
85,Banda Aceh,ID,5.5577,95.3222,78.48,85,100,15.17,overcast clouds
86,New Norfolk,AU,-42.7826,147.0587,47.7,68,100,4.79,overcast clouds
87,Burnie,AU,-41.0667,145.9167,53.15,76,100,14.05,overcast clouds
88,Brae,GB,60.3964,-1.353,47.37,89,35,11.63,scattered clouds
89,Saint-Louis,SN,16.3333,-15.0,93.51,19,100,6.51,overcast clouds
90,Aljezur,PT,37.3191,-8.8033,60.57,94,0,5.41,clear sky
91,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,87,75,8.05,broken clouds
93,Carlsbad,US,33.1581,-117.3506,81.84,81,100,10.36,haze
94,Topolobampo,MX,25.6,-109.05,82.31,54,0,19.57,clear sky
95,Esperance,AU,-33.8667,121.9,57.74,70,100,11.77,overcast clouds
96,Vaini,TO,-21.2,-175.2,82.56,78,75,6.91,broken clouds
97,Umm Kaddadah,SD,13.6017,26.6876,79.79,30,97,1.54,overcast clouds
98,Takapau,NZ,-40.0333,176.35,55.72,87,88,4.21,overcast clouds
99,Qaanaaq,GL,77.484,-69.3632,30.07,94,100,9.42,overcast clouds
100,Bar Harbor,US,44.3876,-68.2039,56.64,82,0,9.22,clear sky
101,Bredasdorp,ZA,-34.5322,20.0403,48.7,87,0,3.69,clear sky
102,Clyde River,CA,70.4692,-68.5914,46.63,46,100,31.07,overcast clouds
103,Jamestown,US,42.097,-79.2353,59.02,73,100,4.61,overcast clouds
104,Kutina,HR,45.475,16.7819,60.85,96,22,2.86,few clouds
105,Airai,TL,-8.9266,125.4092,70.0,72,20,1.83,few clouds
106,Novyy Urengoy,RU,66.0833,76.6333,32.58,79,97,18.88,overcast clouds
107,Sorong,ID,-0.8833,131.25,83.26,75,5,4.07,clear sky
108,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,88,90,2.59,overcast clouds
109,Zimovniki,RU,47.1483,42.4633,64.06,52,1,7.23,clear sky
110,Fuerte Olimpo,PY,-21.0415,-57.8738,57.2,82,100,5.59,overcast clouds
111,Marawi,PH,7.9986,124.2928,78.17,69,68,2.55,broken clouds
112,Gawler,AU,-34.6,138.7333,54.25,86,82,11.21,broken clouds
113,Alta Floresta,BR,-9.8756,-56.0861,75.16,73,100,3.4,overcast clouds
114,Fare,PF,-16.7,-151.0167,79.07,77,100,10.65,light rain
115,Natal,BR,-5.795,-35.2094,79.02,94,75,3.44,broken clouds
116,Vanimo,PG,-2.6741,141.3028,85.89,65,0,6.51,clear sky
117,Rantepao,ID,-2.9701,119.8978,77.18,60,3,1.45,clear sky
118,Tahta,EG,26.7693,31.5021,79.56,27,0,3.83,clear sky
119,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,40,10.36,scattered clouds
120,Port Blair,IN,11.6667,92.75,82.36,80,91,10.0,light rain
121,Lieksa,FI,63.3167,30.0167,50.31,80,100,11.23,light rain
122,Iqaluit,CA,63.7506,-68.5145,38.93,60,40,3.44,scattered clouds
123,Hithadhoo,MV,-0.6,73.0833,83.64,69,99,10.69,overcast clouds
124,Kazerun,IR,29.6195,51.6541,79.12,13,0,7.52,clear sky
125,Arraial Do Cabo,BR,-22.9661,-42.0278,71.91,89,100,18.21,overcast clouds
126,Uray,RU,60.1247,64.7758,41.34,43,97,2.62,overcast clouds
127,Aksu,CN,41.1231,80.2644,71.38,24,7,2.01,clear sky
128,Maragogi,BR,-9.0122,-35.2225,75.0,92,98,5.14,overcast clouds
129,Kaitangata,NZ,-46.2817,169.8464,47.98,81,100,12.62,overcast clouds
130,Severo-Kurilsk,RU,50.6789,156.125,45.41,84,92,6.51,overcast clouds
131,Aksarka,RU,66.5606,67.7975,32.31,60,100,21.97,overcast clouds
132,Taoudenni,ML,22.6783,-3.9836,95.76,13,10,12.82,clear sky
133,Torbay,CA,47.6666,-52.7314,39.76,96,100,21.85,light intensity drizzle
134,Alice Springs,AU,-23.7,133.8833,54.95,94,100,10.36,overcast clouds
135,Riyadh,SA,24.6877,46.7219,86.14,17,0,6.82,clear sky
136,Kanniyakumari,IN,8.0833,77.5667,79.7,83,100,17.27,overcast clouds
137,Yelanskiy,RU,56.8419,62.5014,51.98,85,86,6.91,overcast clouds
138,Durango,MX,24.8333,-104.8333,76.87,33,90,3.8,overcast clouds
139,Traverse City,US,44.7631,-85.6206,73.47,28,20,5.75,few clouds
140,Ruidoso,US,33.3317,-105.673,76.14,63,0,11.5,clear sky
141,Chuy,UY,-33.6971,-53.4616,41.67,79,8,6.85,clear sky
142,Zlobin,HR,45.2924,14.6541,65.5,76,0,6.91,clear sky
143,Balangiga,PH,11.1097,125.3875,84.15,71,100,4.09,overcast clouds
144,Lebu,CL,-37.6167,-73.65,50.31,79,100,14.81,overcast clouds
145,Iesolo,IT,45.5331,12.6448,71.71,83,18,8.75,few clouds
146,Trairi,BR,-3.2778,-39.2689,74.71,93,100,6.17,overcast clouds
147,Upernavik,GL,72.7868,-56.1549,32.14,73,100,5.82,overcast clouds
148,Ternate,ID,0.8,127.4,83.39,74,14,3.85,few clouds
149,Kavieng,PG,-2.5744,150.7967,84.43,64,86,8.72,overcast clouds
150,Souillac,MU,-20.5167,57.5167,73.78,68,40,10.36,scattered clouds
151,Coquimbo,CL,-29.9533,-71.3436,55.13,62,0,4.61,clear sky
152,Kerouane,GN,9.2667,-9.0167,70.95,93,49,3.87,scattered clouds
153,Derbent,RU,42.0678,48.2899,68.77,57,0,6.17,clear sky
154,Portland,US,45.5234,-122.6762,81.9,47,75,6.91,broken clouds
155,Pochutla,MX,15.7432,-96.4661,78.82,85,99,2.46,overcast clouds
156,Rio Gallegos,AR,-51.6226,-69.2181,26.65,86,0,4.61,clear sky
157,Sol-Iletsk,RU,51.1631,54.9918,61.39,61,100,4.79,overcast clouds
158,Gua Musang,MY,4.8823,101.9644,75.13,96,100,0.58,overcast clouds
159,Pevek,RU,69.7008,170.3133,34.45,90,100,10.56,overcast clouds
160,Berezovyy,RU,51.6667,135.7,44.56,97,100,2.91,overcast clouds
161,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,100,5.01,overcast clouds
162,Vestmannaeyjar,IS,63.4427,-20.2734,48.02,73,100,7.67,overcast clouds
163,Anadyr,RU,64.75,177.4833,54.1,50,54,22.37,fog
164,Sternberk,CZ,49.7304,17.2989,55.18,76,14,6.46,few clouds
165,Miraflores,MX,19.2167,-98.8083,72.03,51,95,3.53,overcast clouds
166,Artyom,AZ,40.4723,50.333,66.34,75,0,8.08,clear sky
167,Kodiak,US,57.79,-152.4072,65.71,37,0,8.05,clear sky
168,Marienburg,PL,54.0359,19.0266,51.12,94,7,7.63,clear sky
169,Kansanshi,ZM,-12.0951,26.4273,47.89,86,63,5.64,broken clouds
170,Kargat,RU,55.1956,80.2811,40.62,67,75,14.34,broken clouds
171,Yumen,CN,40.2833,97.2,64.22,31,100,5.17,overcast clouds
172,Sorland,NO,67.667,12.6934,49.86,83,2,10.07,clear sky
173,Ancud,CL,-41.8697,-73.8203,43.23,83,100,8.08,overcast clouds
174,Irtyshskiy,RU,58.3333,68.1333,39.18,43,0,6.24,clear sky
175,Kurush,RU,41.2841,47.8345,44.74,56,15,2.57,few clouds
176,Beloha,MG,-25.1667,45.05,65.17,70,89,8.08,overcast clouds
177,Salalah,OM,17.0151,54.0924,84.29,74,40,2.3,scattered clouds
178,Kerema,PG,-7.9631,145.7785,84.07,68,17,3.2,few clouds
179,Ambilobe,MG,-13.2,49.05,68.65,91,24,3.04,few clouds
180,Haines Junction,CA,60.7522,-137.5108,73.35,17,100,5.75,overcast clouds
181,Galesong,ID,-5.3166,119.3661,78.82,70,8,4.97,clear sky
182,Aberdare,GB,51.7144,-3.4492,53.31,87,55,2.62,broken clouds
183,Port Alfred,ZA,-33.5906,26.891,55.58,81,1,6.93,clear sky
184,Codrington,AU,-38.2667,141.9667,52.81,64,100,17.29,overcast clouds
185,Broken Hill,AU,-31.95,141.4333,47.07,87,100,3.96,moderate rain
186,Casper,US,42.8666,-106.3131,66.79,37,0,11.5,clear sky
187,Geraldton,AU,-28.7667,114.6,52.21,93,0,8.05,clear sky
188,Sterling,US,39.0062,-77.4286,75.42,91,75,5.99,broken clouds
189,Stykkisholmur,IS,65.0757,-22.7297,45.64,88,100,10.58,overcast clouds
190,Mehamn,NO,71.0357,27.8492,42.71,74,100,13.91,overcast clouds
191,Unecha,RU,52.8459,32.6739,57.83,98,100,7.02,overcast clouds
192,Gambela,ET,8.25,34.5833,71.64,93,100,3.87,light rain
193,Illela,NG,13.7292,5.2975,86.32,26,1,4.34,clear sky
194,Chik,RU,54.9928,82.4311,46.15,80,75,13.42,light rain
195,Sobolevo,RU,54.4299,31.8996,53.44,98,100,11.34,overcast clouds
196,Berezna,UA,51.5716,31.7846,57.2,98,100,7.72,overcast clouds
197,Berlevag,NO,70.8578,29.0864,44.4,87,75,26.46,broken clouds
198,Ankang,CN,32.68,109.0172,80.73,64,55,2.1,broken clouds
199,Butaritari,KI,3.0707,172.7902,81.36,66,4,4.79,clear sky
200,Cassilandia,BR,-19.1133,-51.7342,73.24,56,69,3.91,broken clouds
201,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,9,8.08,clear sky
202,Severnyy,RU,50.677,36.5532,62.64,88,75,6.71,light intensity shower rain
203,Olenegorsk,RU,68.15,33.3,52.9,78,100,9.89,overcast clouds
204,Sola,VU,-13.8833,167.55,86.67,74,75,0.0,broken clouds
205,Zhigansk,RU,66.7697,123.3711,58.86,62,20,10.16,few clouds
206,Sao Caetano De Odivelas,BR,-0.75,-48.02,73.96,94,21,4.5,few clouds
207,Guider,CM,9.9342,13.9486,79.39,55,97,4.9,overcast clouds
208,Lagoa,PT,39.05,-27.9833,62.83,92,28,8.41,scattered clouds
209,Verkhnevilyuysk,RU,63.4453,120.3167,68.45,54,7,8.19,clear sky
210,Belawan,ID,3.7755,98.6832,77.29,85,100,3.27,overcast clouds
211,Nuuk,GL,64.1835,-51.7216,47.01,46,20,6.91,few clouds
212,Angermunde,DE,53.015,13.9992,53.33,89,12,2.37,few clouds
213,Norman Wells,CA,65.282,-126.8329,73.44,33,75,6.91,broken clouds
214,Hualmay,PE,-11.0964,-77.6139,63.77,83,95,8.28,overcast clouds
215,Asbe Teferi,ET,9.0833,40.8667,59.31,85,81,8.19,broken clouds
216,Bambanglipuro,ID,-7.95,110.2833,80.51,71,58,2.17,broken clouds
217,Caravelas,BR,-17.7125,-39.2481,72.07,85,52,4.14,broken clouds
218,Khatanga,RU,71.9667,102.5,49.14,72,71,15.12,broken clouds
219,Teguise,ES,29.0605,-13.564,66.42,73,20,8.05,few clouds
220,Kahului,US,20.8947,-156.47,82.42,77,40,21.85,scattered clouds
221,Progreso,MX,21.2833,-89.6667,82.51,89,78,12.12,broken clouds
222,Herat,AF,34.5,62.0,66.51,20,0,7.9,clear sky
223,Chernyshevskiy,RU,63.0128,112.4714,66.97,36,99,12.82,overcast clouds
224,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,8.05,broken clouds
225,Pangnirtung,CA,66.1451,-65.7125,36.79,93,89,2.86,overcast clouds
226,Belaya Gora,RU,68.5333,146.4167,55.09,36,100,9.53,overcast clouds
227,Klaksvik,FO,62.2266,-6.589,43.72,83,51,7.29,broken clouds
228,Coro,VE,11.4045,-69.6734,78.35,85,30,16.15,scattered clouds
